nama,time,gazeX,gazeY,label
Aditya2,5192,394.3296,139.8492,2
Aditya2,5208,380.1216,113.4324,2
Aditya2,5225,388.7616,119.0376,2
Aditya2,5241,458.688,117.2772,2
Aditya2,5258,454.9248,109.1988,2
Aditya2,5274,616.608,110.2248,2
Aditya2,5290,595.296,93.9924,2
Aditya2,5307,598.1376,102.2544,2
Aditya2,5323,625.4208,136.3824,2
Aditya2,5340,626.8032,106.8984,2
Aditya2,5356,628.6464,112.0824,2
Aditya2,5373,614.4384,142.5384,2
Aditya2,5389,579.8784,112.1904,2
Aditya2,5405,578.5152,108.648,2
Aditya2,5422,592.9728,83.2464,2
Aditya2,5438,589.2288,48.222,2
Aditya2,5455,585.9072,37.9944,2
Aditya2,5471,551.6352,69.4764,2
Aditya2,5488,559.5264,87.9012,2
Aditya2,5504,561.5232,92.8476,2
Aditya2,5520,533.2608,143.0136,2
Aditya2,5537,564.6144,103.3128,2
Aditya2,5553,568.1856,113.1408,2
Aditya2,5570,568.4352,150.8436,2
Aditya2,5586,525.7152,143.8344,2
Aditya2,5603,523.5648,138.8448,2
Aditya2,5619,588.7104,82.9008,2
Aditya2,5635,547.1424,138.456,2
Aditya2,5652,545.4528,133.8444,2
Aditya2,5668,572.6783,80.46,2
Aditya2,5685,567.744,135.0648,2
Aditya2,5701,563.5968,124.5456,2
Aditya2,5718,552.864,68.7744,2
Aditya2,5734,550.272,49.95,2
Aditya2,5750,545.0496,34.776,2
Aditya2,5767,572.1792,19.2132,2
Aditya2,5783,562.5984,49.1832,2
Aditya2,5800,571.9488,75.384,2
Aditya2,5816,543.4752,121.8564,2
Aditya2,5832,541.0176,123.2172,2
Aditya2,5849,539.2896,118.2924,2
Aditya2,5865,593.5104,112.6656,2
Aditya2,5882,495.168,90.3636,2
Aditya2,5898,493.44,85.644,2
Aditya2,5915,203.5968,301.3956,2
Aditya2,5931,179.7504,360.7956,2
Aditya2,5948,186.8736,368.0316,2
Aditya2,5964,166.56,317.0448,2
Aditya2,5980,220.3776,280.3572,2
Aditya2,5997,217.1136,276.2748,2
Aditya2,6013,206.6112,271.0476,2
Aditya2,6030,187.1424,285.174,2
Aditya2,6046,190.4064,289.1484,2
Aditya2,6063,117.8688,375.4404,2
Aditya2,6079,198.3168,376.0344,2
Aditya2,6095,204.2688,381.3588,2
Aditya2,6112,160.3776,370.71,2
Aditya2,6128,159.4176,369.1656,2
Aditya2,6145,157.5936,367.5456,2
Aditya2,6161,156.7104,355.7088,2
Aditya2,6178,163.776,412.344,2
Aditya2,6194,173.6064,421.47,2
Aditya2,6211,177.3888,440.3484,2
Aditya2,6227,154.6752,396.5868,2
Aditya2,6243,144.288,386.9532,2
Aditya2,6260,115.9872,387.9468,2
Aditya2,6276,227.5776,391.0356,2
Aditya2,6293,226.5792,390.0096,2
Aditya2,6309,180.576,395.5608,2
Aditya2,6325,185.5296,401.7492,2
Aditya2,6342,178.4064,394.9236,2
Aditya2,6358,179.9232,400.7124,2
Aditya2,6375,138.0096,377.838,2
Aditya2,6391,124.7232,365.31,2
Aditya2,6408,179.1936,328.7088,2
Aditya2,6424,233.4144,362.9988,2
Aditya2,6440,242.7264,373.3776,2
Aditya2,6457,491.9424,401.2308,2
Aditya2,6473,503.712,453.7188,2
Aditya2,6490,512.544,466.6788,2
Aditya2,6506,508.32,440.9964,2
Aditya2,6523,568.9344,456.6996,2
Aditya2,6539,568.9344,456.6996,2
Aditya2,6555,531.84,408.8772,2
Aditya2,6572,534.1056,411.0156,2
Aditya2,6588,534.1056,411.0156,2
Aditya2,6605,514.0224,422.2152,2
Aditya2,6621,532.8,462.6936,2
Aditya2,6637,532.8,462.6936,2
Aditya2,6654,526.2912,452.7144,2
Aditya2,6670,517.6512,399.708,2
Aditya2,6687,517.6512,399.708,2
Aditya2,6703,530.3232,416.3724,2
Aditya2,6720,520.2048,462.6288,2
Aditya2,6736,518.0928,459.0756,2
Aditya2,6752,515.712,428.3928,2
Aditya2,6769,566.592,418.8888,2
Aditya2,6785,564.5568,415.4652,2
Aditya2,6802,505.8432,430.0128,2
Aditya2,6818,506.4192,434.2788,2
Aditya2,6835,510.8736,441.0504,2
Aditya2,6851,478.2336,429.3216,2
Aditya2,6868,367.6992,536.1984,2
Aditya2,6884,361.824,529.7508,2
Aditya2,6901,330.5664,486.6372,2
Aditya2,6917,341.2032,482.0148,2
Aditya2,6933,334.272,475.578,2
Aditya2,6950,290.3232,520.1928,2
Aditya2,6966,316.7232,556.1784,2
Aditya2,6983,327.4752,565.218,2
Aditya2,6999,347.52,501.9948,2
Aditya2,7015,376.5504,500.4828,2
Aditya2,7033,373.5552,497.6532,2
Aditya2,7048,367.1808,513.2916,2
Aditya2,7065,317.5296,533.9304,2
Aditya2,7081,323.7888,539.73,2
Aditya2,7098,313.2288,531.3924,2
Aditya2,7114,325.4208,516.4236,2
Aditya2,7130,325.4208,516.4236,2
Aditya2,7147,352.6272,522.8604,2
Aditya2,7163,324.288,511.2828,2
Aditya2,7180,318.5472,503.9388,2
Aditya2,7196,32.6976,549.1584,2
Aditya2,7213,-0.0123,584.2908,2
Aditya2,7229,-0.012,584.9496,2
Aditya2,7245,65.2032,543.0888,2
Aditya2,7262,11.0208,557.8308,2
Aditya2,7278,43.5648,577.2492,2
Aditya2,7295,83.6352,636.9948,2
Aditya2,7311,26.4,615.3624,2
Aditya2,7328,5.6832,603.6012,2
Aditya2,7344,-0.0094,607.9536,2
Aditya2,7360,-0.031,574.6896,2
Aditya2,7377,-0.036,569.3868,2
Aditya2,7393,6.4704,554.148,2
Aditya2,7410,12.4032,573.5448,2
Aditya2,7426,20.1408,578.1132,2
Aditya2,7442,16.6656,536.976,2
Aditya2,7459,50.4,548.3808,2
Aditya2,7475,50.4,548.3808,2
Aditya2,7492,44.4096,580.3163,2
Aditya2,7508,-0.0052,531.2736,2
Aditya2,7525,-0.0052,531.2736,2
Aditya2,7541,143.2704,584.4312,2
Aditya2,7558,80.8704,581.5908,2
Aditya2,7574,65.28,571.7844,2
Aditya2,7590,83.616,564.7644,2
Aditya2,7607,109.9776,534.8916,2
Aditya2,7623,99.1872,527.6772,2
Aditya2,7640,32.9856,567.5724,2
Aditya2,7656,59.4624,574.9704,2
Aditya2,7672,83.1936,589.6368,2
Aditya2,7689,184.9344,566.784,2
Aditya2,7705,186.528,622.5228,2
Aditya2,7722,190.752,624.834,2
Aditya2,7738,234.1248,568.5552,2
Aditya2,7755,283.2576,570.8772,2
Aditya2,7771,273.8496,563.598,2
Aditya2,7788,220.9728,525.5928,2
Aditya2,7804,274.2144,548.9856,2
Aditya2,7820,280.8576,554.634,2
Aditya2,7837,252.6144,532.8288,2
Aditya2,7853,270.1632,603.3528,2
Aditya2,7870,269.3952,601.9272,2
Aditya2,7886,239.2896,559.0944,2
Aditya2,7903,268.3008,599.4,2
Aditya2,7919,265.2672,598.9248,2
Aditya2,7935,289.9008,620.7624,2
Aditya2,7952,295.5648,582.4332,2
Aditya2,7968,312.576,596.5812,2
Aditya2,7985,261.1776,664.6752,2
Aditya2,8001,216.0192,618.3108,2
Aditya2,8018,212.9088,615.9024,2
Aditya2,8034,210.0288,589.518,2
Aditya2,8050,258.72,595.4796,2
Aditya2,8067,243.5136,583.6428,2
Aditya2,8083,174.4512,564.9804,2
Aditya2,8100,189.1968,577.9296,2
Aditya2,8116,185.1456,575.1432,2
Aditya2,8133,157.9584,572.1408,2
Aditya2,8149,119.4624,565.1856,2
Aditya2,8165,123.8784,567.6696,2
Aditya2,8182,71.3664,586.7316,2
Aditya2,8198,69.1392,569.484,2
Aditya2,8215,67.8912,568.6956,2
Aditya2,8231,77.568,559.7748,2
Aditya2,8247,61.344,612.792,2
Aditya2,8264,61.344,612.792,2
Aditya2,8280,63.1104,572.0868,2
